"canton","provincia","id_fact_oc_rs","id_razon_social","id_fecha","dia","fecha","razon_social","estado","tipo_razon_social","fecha_resolucion","mes","anio","total_cursos","volumen_cap_cer","volumen_horas","prediction(volumen_ganancias)"
"quito","pichincha",511.0,2108.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2022-0168",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"guayaquil","guayas",514.0,2119.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0383",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"ambato","tungurahua",518.0,2133.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0223",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,812945.32
"loja","loja",519.0,2137.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0640",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"guayaquil","guayas",521.0,2148.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-ren-2022-0001",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"quito","pichincha",526.0,2185.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-ren-2021-0003",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",529.0,2192.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0055",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"cuenca","azuay",533.0,2213.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0494",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",534.0,2216.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0625",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"manta","manabi",535.0,2231.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0555",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,735124.4000000001
"machala","el oro",536.0,2233.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0209",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"cuenca","azuay",538.0,2251.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0190",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
