"familia","sector","estado","canton","provincia","id_fact_oec","num_cer","total_horas","total_cursos","volumen_capacitados","total_ganacias","mes","anio","%_asistencia","prediction(%_asistencia)"
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4194.0,2.0,12.0,2.0,3.0,500.0,12.0,2019.0,0.0,-6.699618187626637E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4196.0,2.0,12.0,1.0,2.0,500.0,2.0,2019.0,0.0,1.9163403531319463E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4198.0,6.0,36.0,1.0,6.0,1500.0,7.0,2019.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4200.0,57.0,342.0,1.0,57.0,14250.0,1.0,2019.0,0.0,-0.006910735308542737
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4202.0,5.0,30.0,1.0,5.0,1250.0,3.0,2019.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4204.0,3.0,18.0,1.0,3.0,750.0,11.0,2018.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4209.0,4.0,24.0,1.0,4.0,1000.0,7.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",4210.0,1.0,6.0,3.0,3.0,250.0,9.0,2019.0,0.0,2.837013526099776E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4215.0,17.0,102.0,2.0,18.0,4250.0,12.0,2019.0,0.0,1.8655632477289092E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4217.0,6.0,36.0,1.0,6.0,1500.0,5.0,2019.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4218.0,28.0,168.0,1.0,28.0,7000.0,8.0,2019.0,0.0,-6.734164407380836E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4220.0,7.0,42.0,1.0,7.0,1750.0,5.0,2019.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4223.0,3.0,18.0,1.0,3.0,750.0,4.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4224.0,3.0,18.0,1.0,3.0,750.0,10.0,2019.0,0.0,5.0556194774298464E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4225.0,1.0,6.0,1.0,1.0,250.0,12.0,2019.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4227.0,4.0,24.0,1.0,4.0,1000.0,7.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",4237.0,2.0,12.0,3.0,19.0,500.0,12.0,2020.0,0.0,5.765897490259244E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4248.0,3.0,18.0,1.0,3.0,750.0,5.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4250.0,11.0,66.0,1.0,11.0,2750.0,5.0,2019.0,0.0,2.5368885566008376E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4256.0,3.0,18.0,1.0,3.0,750.0,12.0,2018.0,0.0,-4.105026254324056E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4259.0,1.0,6.0,1.0,1.0,250.0,9.0,2020.0,0.0,5.0556194774298464E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4263.0,14.0,84.0,1.0,14.0,3500.0,11.0,2019.0,0.0,6.689184312831404E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4269.0,5.0,30.0,1.0,5.0,1250.0,8.0,2019.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4270.0,4.0,24.0,1.0,4.0,1000.0,6.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4274.0,51.0,306.0,1.0,51.0,12750.0,2.0,2019.0,0.0,-0.006887603307836709
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4275.0,1.0,6.0,1.0,1.0,250.0,6.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4281.0,3.0,18.0,1.0,3.0,750.0,5.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4284.0,33.0,198.0,1.0,33.0,8250.0,4.0,2019.0,0.0,4.140171356918467E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4286.0,1.0,6.0,1.0,1.0,250.0,8.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4289.0,1.0,6.0,1.0,1.0,250.0,3.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4290.0,9.0,54.0,1.0,9.0,2250.0,2.0,2019.0,0.0,2.536864100288307E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4291.0,3.0,18.0,1.0,3.0,750.0,5.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4298.0,7.0,42.0,2.0,20.0,1750.0,12.0,2019.0,0.0,1.32388407687767E-4
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4299.0,13.0,78.0,2.0,20.0,3250.0,12.0,2019.0,0.0,1.5629109078458842E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4300.0,2.0,12.0,1.0,2.0,500.0,1.0,2019.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4301.0,1.0,6.0,1.0,1.0,250.0,11.0,2018.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4303.0,2.0,12.0,1.0,2.0,500.0,4.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4304.0,2.0,12.0,1.0,2.0,500.0,5.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4307.0,2.0,12.0,1.0,2.0,500.0,1.0,2019.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4308.0,30.0,180.0,1.0,30.0,7500.0,6.0,2019.0,0.0,-0.0011983979558938705
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4313.0,9.0,54.0,1.0,9.0,2250.0,5.0,2019.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4314.0,1.0,6.0,1.0,1.0,250.0,11.0,2018.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4315.0,23.0,138.0,1.0,23.0,5750.0,4.0,2019.0,0.0,-6.734164407380836E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4317.0,4.0,24.0,1.0,4.0,1000.0,12.0,2019.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4318.0,20.0,120.0,1.0,20.0,5000.0,7.0,2019.0,0.0,-6.734164407380836E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4323.0,2.0,12.0,1.0,2.0,500.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4324.0,1.0,6.0,1.0,1.0,250.0,2.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4325.0,3.0,18.0,1.0,3.0,750.0,5.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","enseñanza","habilitado","cuenca","azuay",4327.0,1.0,6.0,2.0,10.0,250.0,5.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4328.0,2.0,12.0,1.0,2.0,500.0,5.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4329.0,5.0,30.0,1.0,5.0,1250.0,2.0,2022.0,0.0,2.536864100288307E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4331.0,1.0,6.0,1.0,1.0,250.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4332.0,8.0,48.0,2.0,15.0,2000.0,12.0,2020.0,0.0,1.238596411307748E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4334.0,4.0,24.0,1.0,4.0,1000.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4340.0,1.0,6.0,1.0,1.0,250.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4342.0,1.0,6.0,3.0,20.0,250.0,2.0,2022.0,0.0,-2.6834455629387403E-5
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","cuenca","azuay",4344.0,2.0,12.0,3.0,20.0,500.0,2.0,2022.0,0.0,6.245265772217403E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4349.0,1.0,6.0,1.0,1.0,250.0,2.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4353.0,4.0,24.0,1.0,4.0,1000.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4355.0,4.0,24.0,2.0,5.0,1000.0,1.0,2021.0,0.0,4.5109322864345276E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4356.0,1.0,6.0,2.0,5.0,250.0,1.0,2021.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4357.0,1.0,6.0,1.0,1.0,250.0,2.0,2022.0,0.0,4.5109322864345276E-5
"actividades de salud","actividades de atención de la salud humana","habilitado","cuenca","azuay",4362.0,1.0,6.0,1.0,1.0,250.0,7.0,2022.0,0.0,7.648836808993482E-6
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4364.0,1.0,6.0,1.0,1.0,250.0,6.0,2021.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4365.0,2.0,12.0,1.0,2.0,500.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4366.0,3.0,18.0,1.0,3.0,750.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4367.0,2.0,12.0,2.0,3.0,500.0,1.0,2021.0,0.0,4.5109322864345276E-5
"turismo y alimentación","elaboración de productos alimenticios","habilitado","cuenca","azuay",4370.0,1.0,6.0,1.0,1.0,250.0,8.0,2019.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4373.0,1.0,6.0,1.0,1.0,250.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","cuenca","azuay",4374.0,1.0,6.0,1.0,1.0,250.0,1.0,2022.0,0.0,2.768370850485093E-4
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4380.0,1.0,6.0,1.0,1.0,250.0,12.0,2021.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4383.0,4.0,24.0,1.0,4.0,1000.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4384.0,3.0,18.0,1.0,3.0,750.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","cuenca","azuay",4388.0,17.0,102.0,2.0,28.0,4250.0,2.0,2021.0,0.0,3.409681488146356E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4391.0,1.0,6.0,1.0,1.0,250.0,6.0,2021.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4394.0,1.0,6.0,1.0,1.0,250.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4396.0,1.0,6.0,2.0,2.0,250.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4397.0,26.0,156.0,2.0,27.0,6500.0,1.0,2022.0,0.0,-7.170860698598068E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4400.0,11.0,66.0,1.0,11.0,2750.0,1.0,2022.0,0.0,2.1001922653836064E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4401.0,1.0,6.0,2.0,2.0,250.0,2.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4407.0,5.0,30.0,1.0,5.0,1250.0,1.0,2022.0,0.0,2.536864100288307E-4
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4408.0,1.0,6.0,1.0,1.0,250.0,12.0,2020.0,0.0,-4.105026254324056E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","cuenca","azuay",4410.0,1.0,6.0,1.0,1.0,250.0,3.0,2021.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4411.0,6.0,36.0,1.0,6.0,1500.0,3.0,2022.0,0.0,2.973560391505538E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4414.0,1.0,6.0,1.0,1.0,250.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4418.0,2.0,12.0,1.0,2.0,500.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4423.0,1.0,6.0,2.0,8.0,250.0,1.0,2021.0,0.0,4.5109322864345276E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4425.0,3.0,18.0,2.0,8.0,750.0,12.0,2020.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4428.0,2.0,12.0,2.0,3.0,500.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4430.0,6.0,36.0,2.0,9.0,1500.0,12.0,2020.0,0.0,1.6752682462124486E-4
"actividades tipo servicios","actividades de asistencia social sin alojamiento","habilitado","cuenca","azuay",4436.0,1.0,6.0,1.0,1.0,250.0,12.0,2021.0,0.0,-4.105026254324056E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","cuenca","azuay",4438.0,1.0,6.0,1.0,1.0,250.0,2.0,2021.0,0.0,4.5109322864345276E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4439.0,8.0,48.0,1.0,8.0,2000.0,12.0,2020.0,0.0,1.6752682462124486E-4
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","cuenca","azuay",4440.0,1.0,6.0,1.0,1.0,250.0,3.0,2021.0,0.0,3.205067141702324E-4
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4442.0,2.0,12.0,2.0,3.0,500.0,7.0,2021.0,0.0,8.87789519860684E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4443.0,1.0,6.0,1.0,1.0,250.0,1.0,2020.0,0.0,4.5109322864345276E-5
"actividades de enseñanza","enseñanza","habilitado","cuenca","azuay",4444.0,3.0,18.0,1.0,3.0,750.0,6.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4448.0,8.0,48.0,1.0,8.0,2000.0,2.0,2022.0,0.0,2.536864100288307E-4
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4449.0,3.0,18.0,1.0,3.0,750.0,6.0,2022.0,0.0,8.87789519860684E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4450.0,19.0,114.0,1.0,19.0,4750.0,2.0,2020.0,0.0,3.393350310243017E-4
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4452.0,4.0,24.0,1.0,4.0,1000.0,5.0,2022.0,0.0,8.87789519860684E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4454.0,2.0,12.0,1.0,2.0,500.0,7.0,2022.0,0.0,8.87789519860684E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4455.0,6.0,36.0,1.0,6.0,1500.0,2.0,2022.0,0.0,2.536864100288307E-4
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4456.0,1.0,6.0,2.0,8.0,250.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4459.0,8.0,48.0,2.0,9.0,2000.0,3.0,2021.0,0.0,2.973560391505538E-4
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4460.0,31.0,186.0,1.0,31.0,7750.0,1.0,2020.0,0.0,-0.0013796292880290826
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4463.0,2.0,12.0,4.0,24.0,500.0,12.0,2019.0,0.0,-2.109532167556159E-4
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4465.0,14.0,84.0,4.0,24.0,3500.0,12.0,2019.0,0.0,-4.126079990829194E-6
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4468.0,2.0,12.0,2.0,3.0,500.0,3.0,2022.0,0.0,8.87789519860684E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4471.0,1.0,6.0,1.0,1.0,250.0,9.0,2020.0,0.0,5.0556194774298464E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4473.0,1.0,6.0,3.0,15.0,250.0,3.0,2022.0,0.0,8.30640693534352E-6
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4476.0,13.0,78.0,1.0,13.0,3250.0,8.0,2021.0,0.0,1.758611912332066E-4
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4477.0,11.0,66.0,1.0,11.0,2750.0,12.0,2021.0,0.0,-4.4489827236748707E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4478.0,1.0,6.0,1.0,1.0,250.0,10.0,2020.0,0.0,5.0556194774298464E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4484.0,4.0,24.0,4.0,12.0,1000.0,8.0,2021.0,0.0,-8.965276878329913E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4485.0,4.0,24.0,4.0,12.0,1000.0,8.0,2021.0,0.0,-8.965276878329913E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4486.0,2.0,12.0,1.0,2.0,500.0,3.0,2020.0,0.0,8.87789519860684E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4488.0,18.0,108.0,1.0,18.0,4500.0,2.0,2020.0,0.0,1.7098556265677817E-4
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4489.0,1.0,6.0,1.0,1.0,250.0,3.0,2020.0,0.0,8.87789519860684E-5
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","quito","pichincha",4494.0,5.0,30.0,2.0,11.0,1250.0,9.0,2021.0,0.0,4.711663008079032E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4499.0,4.0,24.0,1.0,4.0,1000.0,1.0,2020.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4501.0,3.0,18.0,1.0,3.0,750.0,10.0,2020.0,0.0,5.0556194774298464E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4502.0,2.0,12.0,1.0,2.0,500.0,1.0,2020.0,0.0,4.5109322864345276E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4509.0,2.0,12.0,3.0,10.0,500.0,7.0,2020.0,0.0,5.197359042581357E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4511.0,1.0,6.0,1.0,1.0,250.0,7.0,2021.0,0.0,8.87789519860684E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4513.0,5.0,30.0,1.0,5.0,1250.0,1.0,2022.0,0.0,8.533694166130718E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4515.0,1.0,6.0,1.0,1.0,250.0,8.0,2020.0,0.0,8.87789519860684E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4517.0,1.0,6.0,1.0,1.0,250.0,6.0,2022.0,0.0,8.87789519860684E-5
"actividades tipo servicios","fabricación de muebles","habilitado","quito","pichincha",4519.0,1.0,6.0,2.0,2.0,250.0,7.0,2022.0,0.0,8.87789519860684E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4522.0,27.0,162.0,2.0,51.0,6750.0,4.0,2022.0,0.0,-0.007064879060745088
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","quito","pichincha",4525.0,1.0,6.0,3.0,7.0,250.0,6.0,2022.0,0.0,6.23865862602992E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4529.0,9.0,54.0,1.0,9.0,2250.0,12.0,2021.0,0.0,-8.226437462786548E-7
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4534.0,11.0,66.0,4.0,20.0,2750.0,6.0,2021.0,0.0,-4.089638342934503E-5
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","quito","pichincha",4535.0,6.0,36.0,4.0,20.0,1500.0,6.0,2021.0,0.0,-4.089638342934503E-5
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","quito","pichincha",4536.0,2.0,12.0,4.0,20.0,500.0,6.0,2021.0,0.0,-8.112400222630694E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4538.0,19.0,114.0,1.0,19.0,4750.0,7.0,2020.0,0.0,2.146551917785013E-4
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4542.0,1.0,6.0,2.0,2.0,250.0,2.0,2022.0,0.0,4.5109322864345276E-5
"actividades de salud","actividades de atención de la salud humana","habilitado","quito","pichincha",4544.0,7.0,42.0,1.0,7.0,1750.0,1.0,2022.0,0.0,4.206826484232269E-6
"agricultura y plantaciones","agricultura, ganadería, caza y actividades de servicios conexas","habilitado","quito","pichincha",4545.0,1.0,6.0,1.0,1.0,250.0,1.0,2021.0,0.0,4.5109322864345276E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4546.0,3.0,18.0,1.0,3.0,750.0,10.0,2020.0,0.0,5.0556194774298464E-5
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","quito","pichincha",4547.0,5.0,30.0,2.0,7.0,1250.0,9.0,2021.0,0.0,9.078381357126037E-5
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","quito","pichincha",4548.0,2.0,12.0,2.0,7.0,500.0,9.0,2021.0,0.0,5.0556194774298464E-5
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","quito","pichincha",4555.0,5.0,30.0,1.0,5.0,1250.0,8.0,2019.0,0.0,1.290065707830303E-4
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4558.0,4.0,24.0,2.0,19.0,1000.0,1.0,2022.0,0.0,8.337788140533493E-6
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4565.0,1.0,6.0,1.0,1.0,250.0,1.0,2020.0,0.0,4.5109322864345276E-5
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4566.0,1.0,6.0,1.0,1.0,250.0,1.0,2022.0,0.0,4.5109322864345276E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4567.0,2.0,12.0,3.0,4.0,500.0,12.0,2019.0,0.0,-7.785562410349538E-5
"actividades tipo servicios","otras actividades de servicios personales","habilitado","quito","pichincha",4571.0,1.0,6.0,1.0,1.0,250.0,10.0,2021.0,0.0,5.0556194774298464E-5
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",4575.0,2.0,12.0,3.0,11.0,500.0,9.0,2021.0,0.0,-2.991635027642641E-5
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4576.0,3.0,18.0,1.0,3.0,750.0,11.0,2019.0,0.0,-4.105026254324056E-5
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",4582.0,1.0,6.0,2.0,2.0,250.0,12.0,2020.0,0.0,2.289002568526934E-4
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",4584.0,3.0,18.0,1.0,3.0,750.0,7.0,2020.0,0.0,8.87789519860684E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",4585.0,1.0,6.0,1.0,1.0,250.0,12.0,2019.0,0.0,-4.105026254324056E-5
