"familia","sector","estado","provincia","num_cer","total_horas","total_cursos","total_ganacias","dia","mes","anio","volumen_capacitados","prediction(volumen_capacitados)"
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",2.0,12.0,1.0,500.0,3.0,12.0,2018.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,1.0,250.0,4.0,10.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,3.0,250.0,31.0,10.0,2018.0,3.0,6.506150061500615
"turismo y alimentación","servicio de alimento y bebida","desconocido","el oro",1.0,6.0,3.0,250.0,31.0,10.0,2018.0,3.0,6.506150061500615
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",2.0,12.0,1.0,500.0,15.0,10.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",2.0,12.0,1.0,500.0,11.0,7.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",17.0,102.0,1.0,4250.0,23.0,12.0,2019.0,17.0,17.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",24.0,144.0,1.0,6000.0,21.0,6.0,2019.0,24.0,24.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",21.0,126.0,1.0,5250.0,1.0,10.0,2018.0,21.0,21.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",15.0,90.0,1.0,3750.0,31.0,10.0,2019.0,15.0,15.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",23.0,138.0,1.0,5750.0,23.0,10.0,2018.0,23.0,23.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",23.0,138.0,1.0,5750.0,13.0,6.0,2019.0,23.0,23.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",10.0,60.0,1.0,2500.0,27.0,11.0,2018.0,10.0,10.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",16.0,96.0,1.0,4000.0,28.0,6.0,2019.0,16.0,16.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",12.0,72.0,1.0,3000.0,16.0,5.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","pichincha",20.0,120.0,1.0,5000.0,20.0,5.0,2019.0,20.0,20.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","pichincha",2.0,12.0,1.0,500.0,8.0,11.0,2018.0,2.0,2.0
