"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayaquil","guayas",1.0,26.0,2.0,2.0,2019.0,26.0,26.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","pastaza","pastaza",1.0,2.0,13.0,5.0,2019.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",1.0,13.0,5.0,9.0,2019.0,13.0,13.0
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",2.0,13.0,25.0,11.0,2016.0,8.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",2.0,19.0,3.0,12.0,2016.0,16.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",1.0,6.0,18.0,12.0,2016.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",2.0,17.0,11.0,12.0,2016.0,11.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",2.0,17.0,11.0,12.0,2016.0,6.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",1.0,4.0,23.0,10.0,2017.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","pastaza","pastaza",2.0,16.0,26.0,3.0,2017.0,4.0,8.56
"actividades tipo servicios","reparación de computadores y de efectos personales y enseres domésticos","habilitado","quito","pichincha",1.0,1.0,26.0,9.0,2019.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","quito","pichincha",1.0,1.0,3.0,8.0,2018.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","quito","pichincha",1.0,1.0,20.0,7.0,2018.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",3.0,7.0,25.0,11.0,2018.0,3.0,1.8744292237442923
