"familia","sector","estado","canton","provincia","id_fact_oec","num_cer","total_horas","volumen_capacitados","total_ganacias","dia","mes","anio","total_cursos","prediction(total_cursos)"
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2134.0,1.0,6.0,4.0,250.0,11.0,4.0,2022.0,4.0,3.065011265641247
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","latacunga","cotopaxi",2136.0,1.0,6.0,6.0,250.0,13.0,5.0,2022.0,4.0,3.3216120995139002
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2137.0,1.0,6.0,1.0,250.0,14.0,6.0,2022.0,1.0,1.092577416334266
"MISSING","MISSING","habilitado","latacunga","cotopaxi",2140.0,1.0,6.0,4.0,250.0,19.0,5.0,2022.0,2.0,2.9927313178895796
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2143.0,1.0,6.0,6.0,250.0,7.0,6.0,2022.0,6.0,3.553320787204016
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",2146.0,1.0,6.0,12.0,250.0,6.0,6.0,2022.0,6.0,4.802921077008237
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2152.0,1.0,6.0,2.0,250.0,28.0,6.0,2022.0,2.0,2.0989072995407563
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2153.0,1.0,6.0,2.0,250.0,28.0,11.0,2019.0,2.0,1.914387715250073
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2155.0,1.0,6.0,1.0,250.0,3.0,5.0,2021.0,1.0,0.9986276985555245
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2156.0,1.0,6.0,1.0,250.0,8.0,3.0,2022.0,1.0,1.0499908661304156
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2157.0,1.0,6.0,2.0,250.0,16.0,3.0,2022.0,2.0,2.134525425234629
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2158.0,1.0,6.0,2.0,250.0,16.0,3.0,2022.0,2.0,1.9868247468666462
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2159.0,1.0,6.0,4.0,250.0,25.0,8.0,2021.0,3.0,2.8749131931408423
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2163.0,1.0,6.0,9.0,250.0,30.0,8.0,2021.0,3.0,3.61321378035153
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2167.0,1.0,6.0,2.0,250.0,2.0,1.0,2020.0,2.0,1.8668396467519282
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2171.0,1.0,6.0,1.0,250.0,13.0,11.0,2019.0,1.0,1.010000183768157
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2172.0,1.0,6.0,1.0,250.0,20.0,12.0,2019.0,1.0,1.004908495987352
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2173.0,16.0,96.0,16.0,4000.0,23.0,9.0,2019.0,1.0,1.1183160436912525
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2177.0,3.0,18.0,4.0,750.0,18.0,2.0,2022.0,2.0,1.8982702753973948
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2183.0,1.0,6.0,1.0,250.0,13.0,5.0,2021.0,1.0,1.008742808347038
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","latacunga","cotopaxi",2185.0,1.0,6.0,17.0,250.0,14.0,7.0,2022.0,4.0,5.189636358622907
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2186.0,4.0,24.0,17.0,1000.0,14.0,7.0,2022.0,4.0,4.251768646793594
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2190.0,2.0,12.0,5.0,500.0,20.0,5.0,2021.0,2.0,2.7878792362289326
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2191.0,1.0,6.0,3.0,250.0,20.0,6.0,2022.0,2.0,2.7119279395965217
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2193.0,18.0,108.0,36.0,4500.0,21.0,1.0,2022.0,2.0,4.158239776947981
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2194.0,1.0,6.0,65.0,250.0,25.0,2.0,2022.0,4.0,5.167230233112591
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2195.0,1.0,6.0,65.0,250.0,25.0,2.0,2022.0,4.0,5.499255205067116
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2197.0,12.0,72.0,18.0,3000.0,26.0,7.0,2022.0,4.0,2.3383749220874828
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2199.0,1.0,6.0,4.0,250.0,26.0,8.0,2021.0,4.0,2.8749131931408423
"metalmecánica","reparación e instalación de maquinaria y equipo","habilitado","latacunga","cotopaxi",2202.0,1.0,6.0,2.0,250.0,29.0,4.0,2022.0,2.0,1.9123713658527643
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2203.0,1.0,6.0,30.0,250.0,30.0,5.0,2022.0,6.0,4.4108916367431314
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2204.0,1.0,6.0,30.0,250.0,30.0,5.0,2022.0,6.0,4.95777210334471
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",2205.0,8.0,48.0,30.0,2000.0,30.0,5.0,2022.0,6.0,4.975028313466269
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2207.0,1.0,6.0,6.0,250.0,30.0,12.0,2019.0,2.0,2.633060147517413
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2214.0,1.0,6.0,2.0,250.0,6.0,7.0,2021.0,2.0,1.9981625824702727
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2216.0,1.0,6.0,6.0,250.0,6.0,12.0,2021.0,3.0,3.965577449748694
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2217.0,3.0,18.0,6.0,750.0,6.0,12.0,2021.0,3.0,2.9469778306347374
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2218.0,25.0,150.0,29.0,6250.0,7.0,3.0,2022.0,4.0,2.9177490036154135
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2219.0,1.0,6.0,29.0,250.0,7.0,3.0,2022.0,4.0,4.081969238020052
"actividades comunitarias","actividades de atención de la salud humana","habilitado","latacunga","cotopaxi",2220.0,2.0,12.0,29.0,500.0,7.0,3.0,2022.0,4.0,3.250540055701081
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2223.0,1.0,6.0,41.0,250.0,7.0,4.0,2021.0,4.0,4.7602511633985936
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2227.0,1.0,6.0,2.0,250.0,7.0,10.0,2020.0,2.0,2.0147135279230364
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",2228.0,1.0,6.0,1.0,250.0,7.0,10.0,2021.0,1.0,1.054312611490773
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2231.0,1.0,6.0,1.0,250.0,9.0,4.0,2021.0,1.0,1.0015854402708877
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",2232.0,4.0,24.0,17.0,1000.0,9.0,6.0,2022.0,5.0,3.8632256856426332
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2237.0,1.0,6.0,13.0,250.0,12.0,8.0,2021.0,5.0,3.6075536169491764
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2238.0,1.0,6.0,13.0,250.0,12.0,8.0,2021.0,5.0,3.6580543935533436
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2240.0,3.0,18.0,3.0,750.0,13.0,9.0,2019.0,1.0,1.010867971036519
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2241.0,1.0,6.0,2.0,250.0,13.0,10.0,2020.0,2.0,2.0148512723362595
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2242.0,4.0,24.0,4.0,1000.0,14.0,9.0,2021.0,1.0,1.2092101877469625
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2248.0,19.0,114.0,20.0,4750.0,19.0,3.0,2021.0,2.0,1.9055090928732037
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2249.0,1.0,6.0,2.0,250.0,20.0,5.0,2022.0,2.0,2.1571377492191326
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2254.0,1.0,6.0,1.0,250.0,23.0,10.0,2019.0,1.0,0.9958360679274714
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2256.0,1.0,6.0,2.0,250.0,25.0,1.0,2022.0,2.0,2.129714234118169
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2257.0,1.0,6.0,2.0,250.0,25.0,1.0,2022.0,2.0,1.9841734359915657
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2259.0,2.0,12.0,4.0,500.0,28.0,9.0,2021.0,2.0,2.6954281230255086
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2264.0,16.0,96.0,16.0,4000.0,30.0,6.0,2021.0,1.0,1.7560704073612081
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2266.0,2.0,12.0,8.0,500.0,31.0,3.0,2021.0,2.0,3.0278946317675812
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2269.0,1.0,6.0,19.0,250.0,2.0,12.0,2019.0,4.0,3.4716753273087173
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2270.0,1.0,6.0,19.0,250.0,2.0,12.0,2019.0,4.0,3.682838831605282
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2271.0,1.0,6.0,19.0,250.0,2.0,12.0,2019.0,4.0,3.162984482772104
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2273.0,5.0,30.0,6.0,1250.0,21.0,11.0,2019.0,2.0,1.4734732303668219
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",2276.0,2.0,12.0,5.0,500.0,8.0,4.0,2022.0,3.0,3.3948876872645863
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2280.0,10.0,60.0,10.0,2500.0,31.0,3.0,2022.0,1.0,1.353066625820234
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2283.0,1.0,6.0,12.0,250.0,11.0,5.0,2022.0,3.0,3.898770536773541
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2284.0,4.0,24.0,190.0,1000.0,17.0,3.0,2022.0,8.0,6.4124334371217495
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",2286.0,1.0,6.0,190.0,250.0,17.0,3.0,2022.0,8.0,7.334971966650287
"actividades tipo servicios","agricultura, ganadería, caza y actividades de servicios conexas","habilitado","latacunga","cotopaxi",2290.0,1.0,6.0,15.0,250.0,22.0,1.0,2021.0,4.0,4.775470959802065
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2293.0,5.0,30.0,23.0,1250.0,25.0,4.0,2022.0,3.0,3.7353161204364236
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2294.0,2.0,12.0,4.0,500.0,10.0,12.0,2021.0,2.0,2.6192270292058177
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2296.0,4.0,24.0,4.0,1000.0,22.0,12.0,2021.0,1.0,1.0642262870942298
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2297.0,7.0,42.0,7.0,1750.0,17.0,9.0,2018.0,1.0,1.0271459010846096
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","latacunga","cotopaxi",2299.0,21.0,126.0,29.0,5250.0,22.0,3.0,2022.0,5.0,4.706147697640504
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","latacunga","cotopaxi",2300.0,4.0,24.0,29.0,1000.0,22.0,3.0,2022.0,5.0,4.65874628143773
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2303.0,1.0,6.0,2.0,250.0,30.0,3.0,2021.0,2.0,1.9977488167760251
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2308.0,8.0,48.0,8.0,2000.0,10.0,7.0,2019.0,1.0,1.0422753039720059
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2309.0,2.0,12.0,2.0,500.0,11.0,7.0,2019.0,1.0,1.0268434546714937
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2314.0,3.0,18.0,4.0,750.0,14.0,12.0,2021.0,2.0,1.8610935691258286
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2317.0,1.0,6.0,1.0,250.0,14.0,11.0,2019.0,1.0,1.0164058202035315
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","latacunga","cotopaxi",2323.0,5.0,30.0,12.0,1250.0,15.0,6.0,2022.0,2.0,3.864314156876376
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2324.0,1.0,6.0,1.0,250.0,18.0,5.0,2022.0,1.0,1.1386847493385952
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2326.0,1.0,6.0,21.0,250.0,21.0,7.0,2022.0,5.0,4.630443948527486
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2328.0,3.0,18.0,3.0,750.0,8.0,2.0,2022.0,1.0,1.1864619774541874
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2331.0,2.0,12.0,9.0,500.0,4.0,11.0,2021.0,6.0,4.161872893598216
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2333.0,2.0,12.0,18.0,500.0,11.0,8.0,2021.0,3.0,3.9341290724832882
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2335.0,1.0,6.0,5.0,250.0,14.0,1.0,2022.0,3.0,3.399084508780093
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2338.0,5.0,30.0,10.0,1250.0,5.0,11.0,2021.0,5.0,3.411674324725923
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2345.0,2.0,12.0,2.0,500.0,14.0,9.0,2019.0,1.0,1.0233190217813766
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2346.0,1.0,6.0,16.0,250.0,22.0,11.0,2019.0,3.0,2.8480165024293322
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2347.0,2.0,12.0,16.0,500.0,22.0,11.0,2019.0,3.0,2.147306330602974
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2349.0,21.0,126.0,23.0,5250.0,1.0,10.0,2018.0,2.0,1.6895588470570013
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2351.0,1.0,6.0,5.0,250.0,24.0,10.0,2018.0,2.0,2.9524720463132192
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2352.0,4.0,24.0,5.0,1000.0,24.0,10.0,2018.0,2.0,1.2821828348869397
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2353.0,1.0,6.0,11.0,250.0,21.0,4.0,2021.0,2.0,3.9302087461155546
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2354.0,10.0,60.0,11.0,2500.0,21.0,4.0,2021.0,2.0,1.5578411523283515
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2355.0,1.0,6.0,22.0,250.0,18.0,3.0,2021.0,3.0,3.0501038460415524
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2359.0,1.0,6.0,2.0,250.0,1.0,4.0,2021.0,2.0,2.177028370305366
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2361.0,1.0,6.0,2.0,250.0,4.0,6.0,2021.0,2.0,1.9565109463592174
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2362.0,4.0,24.0,4.0,1000.0,10.0,12.0,2019.0,1.0,1.0260908613390578
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2365.0,4.0,24.0,11.0,1000.0,26.0,8.0,2019.0,2.0,1.9576606939344723
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2368.0,3.0,18.0,5.0,750.0,31.0,10.0,2019.0,3.0,1.7207609342121808
"construcción","obras de ingeniería civil","habilitado","latacunga","cotopaxi",2369.0,1.0,6.0,5.0,250.0,31.0,10.0,2019.0,3.0,2.433369514587853
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2372.0,4.0,24.0,4.0,1000.0,19.0,8.0,2019.0,1.0,1.0166516278377324
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2376.0,3.0,18.0,8.0,750.0,12.0,11.0,2021.0,5.0,3.438633632625156
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",2378.0,1.0,6.0,8.0,250.0,12.0,11.0,2021.0,5.0,4.328893699564092
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2381.0,22.0,132.0,22.0,5500.0,15.0,10.0,2018.0,1.0,1.0717157449316668
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2382.0,2.0,12.0,2.0,500.0,22.0,11.0,2018.0,1.0,1.0097577580790906
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2386.0,1.0,6.0,1.0,250.0,11.0,4.0,2019.0,1.0,1.0041107415572563
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2389.0,14.0,84.0,14.0,3500.0,6.0,6.0,2019.0,1.0,1.0557240573079847
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2390.0,38.0,228.0,38.0,9500.0,27.0,5.0,2019.0,1.0,1.2768138870696797
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2393.0,31.0,186.0,31.0,7750.0,25.0,10.0,2018.0,1.0,1.042367585719135
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2394.0,8.0,48.0,8.0,2000.0,27.0,11.0,2018.0,1.0,1.014544427064707
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2395.0,35.0,210.0,35.0,8750.0,31.0,7.0,2019.0,1.0,1.1658764793637468
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2396.0,1.0,6.0,1.0,250.0,15.0,5.0,2019.0,1.0,1.0041107415572563
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2397.0,2.0,12.0,3.0,500.0,4.0,1.0,2019.0,2.0,1.4367760794238942
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2402.0,3.0,18.0,3.0,750.0,16.0,5.0,2019.0,1.0,1.0088806481335135
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2403.0,1.0,6.0,1.0,250.0,31.0,1.0,2019.0,1.0,1.029800198169128
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2406.0,1.0,6.0,1.0,250.0,2.0,12.0,2021.0,1.0,1.1427357016191175
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",2408.0,9.0,54.0,39.0,2250.0,2.0,6.0,2022.0,7.0,5.941481410179208
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2414.0,2.0,12.0,9.0,500.0,23.0,12.0,2021.0,4.0,3.7667854990695426
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2416.0,5.0,30.0,9.0,1250.0,23.0,12.0,2021.0,4.0,2.9554957539012188
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",2420.0,1.0,6.0,3.0,250.0,28.0,1.0,2022.0,3.0,2.6332485580869482
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2423.0,1.0,6.0,15.0,250.0,16.0,1.0,2020.0,3.0,3.2688917434215776
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2425.0,68.0,408.0,68.0,17000.0,22.0,7.0,2019.0,1.0,1.4446251870785867
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2426.0,6.0,36.0,6.0,1500.0,29.0,7.0,2019.0,1.0,1.067003507873765
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2432.0,2.0,12.0,2.0,500.0,12.0,7.0,2019.0,1.0,1.0284737847332375
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2433.0,1.0,6.0,1.0,250.0,26.0,7.0,2019.0,1.0,0.9962415571726391
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2434.0,3.0,18.0,3.0,750.0,28.0,8.0,2019.0,1.0,1.016262342244759
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2436.0,19.0,114.0,19.0,4750.0,21.0,1.0,2019.0,1.0,1.0815536422114613
"actividades comunitarias","actividades de atención de la salud humana","habilitado","latacunga","cotopaxi",2441.0,2.0,12.0,2.0,500.0,22.0,7.0,2021.0,1.0,1.0881312549108637
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2443.0,1.0,6.0,3.0,250.0,14.0,6.0,2019.0,2.0,2.2750206081664013
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2444.0,2.0,12.0,3.0,500.0,14.0,6.0,2019.0,2.0,1.4534274166735353
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2447.0,18.0,108.0,18.0,4500.0,5.0,4.0,2019.0,1.0,1.0538838068123235
"turismo y alimentación","elaboración de productos alimenticios","habilitado","latacunga","cotopaxi",2452.0,1.0,6.0,2.0,250.0,26.0,4.0,2019.0,2.0,1.9611473514860203
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2453.0,1.0,6.0,2.0,250.0,27.0,8.0,2021.0,2.0,1.9363615700649328
"actividades comunitarias","actividades de atención de la salud humana","habilitado","latacunga","cotopaxi",2454.0,1.0,6.0,2.0,250.0,27.0,8.0,2021.0,2.0,2.0577574244025394
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2455.0,1.0,6.0,1.0,250.0,13.0,3.0,2019.0,1.0,0.9953941701323723
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2457.0,7.0,42.0,7.0,1750.0,4.0,5.0,2021.0,1.0,1.2868146170303456
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2458.0,1.0,6.0,4.0,250.0,10.0,9.0,2021.0,4.0,2.890475712666544
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2459.0,1.0,6.0,4.0,250.0,10.0,9.0,2021.0,4.0,2.934383711043652
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2463.0,1.0,6.0,5.0,250.0,13.0,10.0,2021.0,4.0,3.3406467561080584
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2468.0,2.0,12.0,2.0,500.0,18.0,2.0,2019.0,1.0,1.0019024553121065
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2470.0,2.0,12.0,2.0,500.0,16.0,7.0,2019.0,1.0,1.0236213629768693
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2471.0,1.0,6.0,1.0,250.0,10.0,9.0,2019.0,1.0,1.00172512663356
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2472.0,1.0,6.0,1.0,250.0,11.0,11.0,2019.0,1.0,1.0045091225847367
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2473.0,7.0,42.0,7.0,1750.0,6.0,2.0,2019.0,1.0,1.0087952846269994
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2474.0,5.0,30.0,5.0,1250.0,11.0,3.0,2019.0,1.0,0.9974417109415166
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2475.0,3.0,18.0,3.0,750.0,13.0,2.0,2019.0,1.0,0.9903321642423046
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2478.0,5.0,30.0,45.0,1250.0,24.0,6.0,2019.0,2.0,2.881727138951633
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2479.0,40.0,240.0,45.0,10000.0,24.0,6.0,2019.0,2.0,1.3985412981046332
