"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","total_horas","prediction(total_horas)"
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,7.0,22.0,7.0,2022.0,6.0,23.432835820895523
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",4.0,55.0,10.0,12.0,2021.0,102.0,156.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",4.0,60.0,20.0,12.0,2021.0,246.0,156.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",4.0,60.0,20.0,12.0,2021.0,42.0,156.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,60.0,20.0,12.0,2021.0,12.0,156.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",4.0,7.0,22.0,12.0,2021.0,12.0,11.246575342465754
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",4.0,7.0,22.0,12.0,2021.0,6.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",6.0,57.0,28.0,10.0,2021.0,48.0,30.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","latacunga","cotopaxi",2.0,2.0,2.0,9.0,2021.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,5.0,20.0,10.0,2020.0,6.0,15.884210526315789
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","latacunga","cotopaxi",4.0,5.0,19.0,8.0,2021.0,6.0,11.246575342465754
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",5.0,8.0,9.0,5.0,2022.0,6.0,11.246575342465754
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,2.0,10.0,11.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,7.0,12.0,5.0,2022.0,12.0,11.246575342465754
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","latacunga","cotopaxi",5.0,6.0,15.0,6.0,2022.0,6.0,11.246575342465754
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",3.0,4.0,18.0,5.0,2022.0,12.0,8.024096385542169
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",5.0,42.0,2.0,5.0,2022.0,6.0,55.09090909090909
"actividades tipo servicios","reparación e instalación de maquinaria y equipo","habilitado","latacunga","cotopaxi",5.0,42.0,2.0,5.0,2022.0,6.0,55.09090909090909
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",5.0,42.0,2.0,5.0,2022.0,30.0,55.09090909090909
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,8.0,21.0,7.0,2022.0,12.0,11.246575342465754
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",4.0,8.0,21.0,7.0,2022.0,24.0,11.246575342465754
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,8.0,21.0,7.0,2022.0,6.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,8.0,19.0,2.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,4.0,13.0,3.0,2021.0,6.0,8.024096385542169
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",4.0,21.0,26.0,1.0,2021.0,6.0,34.97071129707113
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",5.0,8.0,4.0,5.0,2022.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,4.0,18.0,3.0,2021.0,12.0,11.886075949367088
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,6.0,5.0,7.0,2021.0,30.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,4.0,12.0,3.0,2020.0,18.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,7.0,2.0,12.0,2021.0,30.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,7.0,2.0,6.0,2022.0,6.0,11.246575342465754
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,6.0,13.0,7.0,2021.0,30.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,11.0,12.0,10.0,2021.0,12.0,21.2
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",1.0,1.0,16.0,3.0,2021.0,6.0,6.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",3.0,15.0,26.0,4.0,2021.0,66.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,16.0,2.0,5.0,2021.0,6.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,24.0,9.0,3.0,2020.0,6.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",4.0,9.0,22.0,10.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,1.0,2.0,2020.0,6.0,6.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,6.0,8.0,2020.0,6.0,6.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,4.0,10.0,3.0,2020.0,6.0,11.886075949367088
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,18.0,29.0,1.0,2022.0,36.0,34.97071129707113
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,18.0,29.0,1.0,2022.0,30.0,34.97071129707113
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","latacunga","cotopaxi",2.0,6.0,10.0,5.0,2021.0,18.0,15.884210526315789
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",4.0,14.0,9.0,8.0,2021.0,6.0,13.913793103448276
"actividades tipo servicios","reparación e instalación de maquinaria y equipo","habilitado","latacunga","cotopaxi",1.0,2.0,28.0,9.0,2020.0,12.0,12.0
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",1.0,2.0,26.0,4.0,2022.0,12.0,12.0
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",1.0,5.0,25.0,7.0,2022.0,30.0,30.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",4.0,4.0,11.0,4.0,2022.0,6.0,6.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","latacunga","cotopaxi",4.0,6.0,13.0,5.0,2022.0,6.0,11.246575342465754
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",1.0,1.0,14.0,6.0,2022.0,6.0,6.0
"MISSING","MISSING","habilitado","latacunga","cotopaxi",2.0,4.0,19.0,5.0,2022.0,6.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",6.0,6.0,7.0,6.0,2022.0,6.0,11.246575342465754
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",6.0,12.0,6.0,6.0,2022.0,6.0,13.913793103448276
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2.0,2.0,28.0,6.0,2022.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,28.0,11.0,2019.0,6.0,6.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",1.0,1.0,3.0,5.0,2021.0,6.0,6.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",1.0,1.0,8.0,3.0,2022.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,16.0,3.0,2022.0,6.0,6.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,2.0,16.0,3.0,2022.0,6.0,6.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",3.0,4.0,25.0,8.0,2021.0,6.0,8.024096385542169
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",3.0,9.0,30.0,8.0,2021.0,6.0,11.246575342465754
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,2.0,1.0,2020.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,13.0,11.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,20.0,12.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,16.0,23.0,9.0,2019.0,96.0,96.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,4.0,18.0,2.0,2022.0,18.0,11.886075949367088
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",1.0,1.0,13.0,5.0,2021.0,6.0,6.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","latacunga","cotopaxi",4.0,17.0,14.0,7.0,2022.0,6.0,34.97071129707113
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,17.0,14.0,7.0,2022.0,24.0,34.97071129707113
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,5.0,20.0,5.0,2021.0,12.0,15.884210526315789
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2.0,3.0,20.0,6.0,2022.0,6.0,8.877828054298643
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,36.0,21.0,1.0,2022.0,108.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",4.0,65.0,25.0,2.0,2022.0,6.0,30.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",4.0,65.0,25.0,2.0,2022.0,6.0,30.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",4.0,18.0,26.0,7.0,2022.0,72.0,34.97071129707113
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,4.0,26.0,8.0,2021.0,6.0,6.0
"metalmecánica","reparación e instalación de maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,2.0,29.0,4.0,2022.0,6.0,6.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",6.0,30.0,30.0,5.0,2022.0,6.0,26.285714285714285
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",6.0,30.0,30.0,5.0,2022.0,6.0,26.285714285714285
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",6.0,30.0,30.0,5.0,2022.0,48.0,26.95272108843537
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,6.0,30.0,12.0,2019.0,6.0,15.884210526315789
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,2.0,6.0,7.0,2021.0,6.0,6.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",3.0,6.0,6.0,12.0,2021.0,6.0,11.246575342465754
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",3.0,6.0,6.0,12.0,2021.0,18.0,11.246575342465754
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,29.0,7.0,3.0,2022.0,150.0,55.09090909090909
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",4.0,29.0,7.0,3.0,2022.0,6.0,55.09090909090909
"actividades comunitarias","actividades de atención de la salud humana","habilitado","latacunga","cotopaxi",4.0,29.0,7.0,3.0,2022.0,12.0,55.09090909090909
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",4.0,41.0,7.0,4.0,2021.0,6.0,55.09090909090909
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2.0,2.0,7.0,10.0,2020.0,6.0,6.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",1.0,1.0,7.0,10.0,2021.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",1.0,1.0,9.0,4.0,2021.0,6.0,6.0
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",5.0,17.0,9.0,6.0,2022.0,24.0,11.052631578947368
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",5.0,13.0,12.0,8.0,2021.0,6.0,13.913793103448276
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",5.0,13.0,12.0,8.0,2021.0,6.0,13.913793103448276
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,3.0,13.0,9.0,2019.0,18.0,18.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",2.0,2.0,13.0,10.0,2020.0,6.0,6.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",1.0,4.0,14.0,9.0,2021.0,24.0,24.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,20.0,19.0,3.0,2021.0,114.0,72.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,20.0,5.0,2022.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,23.0,10.0,2019.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,25.0,1.0,2022.0,6.0,6.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,2.0,25.0,1.0,2022.0,6.0,6.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,4.0,28.0,9.0,2021.0,12.0,11.886075949367088
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",1.0,16.0,30.0,6.0,2021.0,96.0,96.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,8.0,31.0,3.0,2021.0,12.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",4.0,19.0,2.0,12.0,2019.0,6.0,34.97071129707113
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",4.0,19.0,2.0,12.0,2019.0,6.0,34.97071129707113
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",4.0,19.0,2.0,12.0,2019.0,6.0,34.97071129707113
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2.0,6.0,21.0,11.0,2019.0,30.0,15.884210526315789
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",3.0,5.0,8.0,4.0,2022.0,12.0,11.246575342465754
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",1.0,10.0,31.0,3.0,2022.0,60.0,60.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",3.0,12.0,11.0,5.0,2022.0,6.0,21.2
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",8.0,190.0,17.0,3.0,2022.0,24.0,222.66666666666666
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",8.0,190.0,17.0,3.0,2022.0,6.0,222.66666666666666
"actividades tipo servicios","agricultura, ganadería, caza y actividades de servicios conexas","habilitado","latacunga","cotopaxi",4.0,15.0,22.0,1.0,2021.0,6.0,34.97071129707113
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",3.0,23.0,25.0,4.0,2022.0,30.0,34.97071129707113
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",2.0,4.0,10.0,12.0,2021.0,12.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",1.0,4.0,22.0,12.0,2021.0,24.0,24.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,7.0,17.0,9.0,2018.0,42.0,42.0
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","latacunga","cotopaxi",5.0,29.0,22.0,3.0,2022.0,126.0,55.09090909090909
"actividades tipo servicios","actividades de descontaminación y otros servicios de gestión de desechos","habilitado","latacunga","cotopaxi",5.0,29.0,22.0,3.0,2022.0,24.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",2.0,2.0,30.0,3.0,2021.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,8.0,10.0,7.0,2019.0,48.0,48.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,2.0,11.0,7.0,2019.0,12.0,12.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,4.0,14.0,12.0,2021.0,18.0,11.886075949367088
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,14.0,11.0,2019.0,6.0,6.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","latacunga","cotopaxi",2.0,12.0,15.0,6.0,2022.0,30.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",1.0,1.0,18.0,5.0,2022.0,6.0,6.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",5.0,21.0,21.0,7.0,2022.0,6.0,40.5
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",1.0,3.0,8.0,2.0,2022.0,18.0,18.0
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",6.0,9.0,4.0,11.0,2021.0,12.0,11.246575342465754
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",3.0,18.0,11.0,8.0,2021.0,12.0,34.97071129707113
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",3.0,5.0,14.0,1.0,2022.0,6.0,11.246575342465754
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",5.0,10.0,5.0,11.0,2021.0,30.0,13.913793103448276
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,2.0,14.0,9.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",3.0,16.0,22.0,11.0,2019.0,6.0,34.97071129707113
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",3.0,16.0,22.0,11.0,2019.0,12.0,34.97071129707113
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2.0,23.0,1.0,10.0,2018.0,126.0,72.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2.0,5.0,24.0,10.0,2018.0,6.0,15.884210526315789
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2.0,5.0,24.0,10.0,2018.0,24.0,15.884210526315789
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",2.0,11.0,21.0,4.0,2021.0,6.0,34.56976744186046
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,11.0,21.0,4.0,2021.0,60.0,34.56976744186046
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","latacunga","cotopaxi",3.0,22.0,18.0,3.0,2021.0,6.0,34.97071129707113
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,2.0,1.0,4.0,2021.0,6.0,6.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,2.0,4.0,6.0,2021.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,4.0,10.0,12.0,2019.0,24.0,24.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2.0,11.0,26.0,8.0,2019.0,24.0,34.56976744186046
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",3.0,5.0,31.0,10.0,2019.0,18.0,11.246575342465754
"construcción","obras de ingeniería civil","habilitado","latacunga","cotopaxi",3.0,5.0,31.0,10.0,2019.0,6.0,11.246575342465754
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,4.0,19.0,8.0,2019.0,24.0,24.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","latacunga","cotopaxi",5.0,8.0,12.0,11.0,2021.0,18.0,11.246575342465754
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",5.0,8.0,12.0,11.0,2021.0,6.0,11.246575342465754
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,22.0,15.0,10.0,2018.0,132.0,132.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,2.0,22.0,11.0,2018.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,11.0,4.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,14.0,6.0,6.0,2019.0,84.0,84.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,38.0,27.0,5.0,2019.0,228.0,228.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,31.0,25.0,10.0,2018.0,186.0,186.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,8.0,27.0,11.0,2018.0,48.0,48.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,35.0,31.0,7.0,2019.0,210.0,210.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,15.0,5.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2.0,3.0,4.0,1.0,2019.0,12.0,8.877828054298643
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,3.0,16.0,5.0,2019.0,18.0,18.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,31.0,1.0,2019.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",1.0,1.0,2.0,12.0,2021.0,6.0,6.0
"actividades comunitarias","actividades deportivas, de esparcimiento y recreativas","habilitado","latacunga","cotopaxi",7.0,39.0,2.0,6.0,2022.0,54.0,26.95272108843537
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",4.0,9.0,23.0,12.0,2021.0,12.0,11.246575342465754
"actividades tipo servicios","enseñanza","habilitado","latacunga","cotopaxi",4.0,9.0,23.0,12.0,2021.0,30.0,11.246575342465754
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","latacunga","cotopaxi",3.0,3.0,28.0,1.0,2022.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","latacunga","cotopaxi",3.0,15.0,16.0,1.0,2020.0,6.0,34.97071129707113
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,68.0,22.0,7.0,2019.0,408.0,409.5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,6.0,29.0,7.0,2019.0,36.0,36.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,2.0,12.0,7.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,1.0,26.0,7.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,3.0,28.0,8.0,2019.0,18.0,18.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,19.0,21.0,1.0,2019.0,114.0,114.0
"actividades comunitarias","actividades de atención de la salud humana","habilitado","latacunga","cotopaxi",1.0,2.0,22.0,7.0,2021.0,12.0,12.0
"metalmecánica","fabricación de productos elaborados de metal, excepto maquinaria y equipo","habilitado","latacunga","cotopaxi",2.0,3.0,14.0,6.0,2019.0,6.0,8.877828054298643
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",2.0,3.0,14.0,6.0,2019.0,12.0,8.877828054298643
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","latacunga","cotopaxi",1.0,18.0,5.0,4.0,2019.0,108.0,108.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","latacunga","cotopaxi",2.0,2.0,26.0,4.0,2019.0,6.0,6.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","latacunga","cotopaxi",2.0,2.0,27.0,8.0,2021.0,6.0,6.0
