id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
6167,2176,365,10.0,60.0,2500.0,0.7955449482895783,6,06-01-2020,6,1,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6199,2176,846,1.0,6.0,250.0,0.0795544948289578,1,12-11-2019,12,11,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6218,2176,1208,1.0,6.0,250.0,0.0795544948289578,1,18-02-2019,18,2,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6221,2176,1243,1.0,6.0,250.0,0.0795544948289578,1,18-08-2021,18,8,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6215,2176,1121,2.0,12.0,500.0,0.1591089896579156,1,16-11-2020,16,11,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6275,2176,2044,3.0,18.0,750.0,0.2386634844868735,3,29-12-2020,29,12,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6166,2176,353,3.0,18.0,750.0,0.2386634844868735,1,05-11-2020,5,11,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6184,2176,586,1.0,6.0,250.0,0.0795544948289578,1,09-03-2021,9,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6195,2176,810,1.0,6.0,250.0,0.0795544948289578,1,12-05-2021,12,5,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6203,2176,882,1.0,6.0,250.0,0.0795544948289578,1,13-05-2021,13,5,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6235,2176,1446,1.0,6.0,250.0,0.0795544948289578,1,21-06-2021,21,6,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6175,2176,457,1.0,6.0,250.0,0.0795544948289578,1,07-05-2022,7,5,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6174,2176,423,1.0,6.0,250.0,0.0795544948289578,1,06-11-2019,6,11,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
