id_oc,id_curso_perfil,id_fecha,num_cap_cer,total_cursos,volumen_capacitados,total_horas,total_ganancias
409,3902,2,66,7,239,7920,
409,3896,2,41,7,239,4920,
409,3901,2,41,7,239,4920,
409,3897,2,71,7,239,17040,
409,3897,3,26,3,91,6240,
409,3899,2,71,7,239,17040,
409,3899,3,26,3,91,6240,
409,3898,2,21,7,239,2520,
113,1119,2,16,12,621,512,
113,1119,3,22,14,336,704,
113,1127,2,102,12,621,3264,
113,1118,2,113,12,621,3616,
113,1118,0,36,4,47,1152,
113,1118,3,170,14,336,5440,
113,1124,2,106,12,621,4028,
113,1124,3,3,14,336,114,
113,1125,2,102,12,621,2448,
113,1125,3,4,14,336,96,
113,1126,2,105,12,621,2520,
113,1128,2,14,12,621,336,
113,1120,2,9,12,621,216,
113,1121,2,37,12,621,888,
113,1121,3,27,14,336,648,
232,2434,2,3,1,3,288,
404,3825,2,6,1,6,60,
233,2442,2,18,38,1280,720,
233,2442,3,35,8,318,1400,
233,2449,2,52,38,1280,2080,
233,2437,2,4,38,1280,80,966.4
233,2490,2,4,38,1280,80,966.4
233,2493,2,27,38,1280,540,2430.0
233,2506,2,14,38,1280,280,4130.0
233,2467,2,22,38,1280,440,6490.0
233,2486,2,22,38,1280,440,990.0
233,2438,2,69,38,1280,2760,28980.0
233,2438,3,57,8,318,2280,23940.0
233,2521,2,6,38,1280,240,
233,2522,2,6,38,1280,240,
233,2481,2,33,38,1280,660,8969.4
233,2494,2,33,38,1280,660,2640.0
233,2474,2,37,38,1280,740,
233,2500,2,37,38,1280,740,
233,2472,2,41,38,1280,820,
233,2498,2,41,38,1280,820,7929.400000000001
233,2507,2,9,38,1280,216,
233,2523,2,9,38,1280,216,
233,2471,2,8,38,1280,160,
233,2497,2,8,38,1280,160,
233,2443,2,231,38,1280,9240,
233,2443,3,106,8,318,4240,
233,2447,2,231,38,1280,9240,
233,2447,3,106,8,318,4240,
233,2477,2,17,38,1280,340,
233,2503,2,17,38,1280,340,
233,2488,2,36,38,1280,720,6962.400000000001
