"estado","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","volumen_horas","fecha","razon_social","tipo_razon_social","fecha_resolucion","volumen_cer","volumen_ganancias","total_perfiles","dia","mes","anio","prediction(volumen_horas)"
"habilitado","quito","pichincha",2334.0,1223.0,1347.0,0.0,102.0,"20-03-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",17.0,4250.0,1.0,20.0,3.0,2019.0,102.0
"habilitado","quito","pichincha",2344.0,1223.0,1498.0,0.0,108.0,"22-04-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",18.0,4500.0,1.0,22.0,4.0,2019.0,108.0
"habilitado","quito","pichincha",2348.0,1223.0,1526.0,0.0,96.0,"22-08-2021","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",16.0,4000.0,1.0,22.0,8.0,2021.0,96.0
"habilitado","quito","pichincha",2364.0,1223.0,1767.0,0.0,66.0,"26-02-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",11.0,2750.0,1.0,26.0,2.0,2019.0,66.0
"habilitado","quito","pichincha",2377.0,1223.0,2010.0,0.0,282.0,"29-08-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",47.0,11750.0,1.0,29.0,8.0,2018.0,282.0
"habilitado","quito","pichincha",2382.0,1223.0,2074.0,0.0,6.0,"30-08-2020","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",1.0,250.0,1.0,30.0,8.0,2020.0,6.0
"habilitado","guayaquil","guayas",2455.0,13.0,2029.0,0.0,24.0,"29-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",4.0,1000.0,1.0,29.0,11.0,2019.0,24.0
"habilitado","guayaquil","guayas",2413.0,13.0,398.0,0.0,18.0,"06-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",3.0,750.0,1.0,6.0,8.0,2019.0,18.0
"habilitado","guayaquil","guayas",2411.0,13.0,326.0,0.0,102.0,"05-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",17.0,4250.0,1.0,5.0,8.0,2019.0,102.0
"habilitado","guayaquil","guayas",2426.0,13.0,972.0,0.0,444.0,"14-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",74.0,18500.0,1.0,14.0,11.0,2019.0,444.0
"habilitado","guayaquil","guayas",2448.0,13.0,1750.0,0.0,48.0,"25-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",8.0,2000.0,1.0,25.0,11.0,2019.0,48.0
"habilitado","guayaquil","guayas",2449.0,13.0,1789.0,0.0,120.0,"26-06-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",20.0,5000.0,1.0,26.0,6.0,2019.0,120.0
"habilitado","guayaquil","guayas",2451.0,13.0,1826.0,0.0,162.0,"26-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",27.0,6750.0,1.0,26.0,12.0,2019.0,162.0
"habilitado","guayaquil","guayas",2407.0,13.0,113.0,0.0,78.0,"02-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",13.0,3250.0,1.0,2.0,9.0,2019.0,78.0
"habilitado","guayaquil","guayas",2418.0,13.0,628.0,0.0,252.0,"09-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",42.0,10500.0,1.0,9.0,12.0,2019.0,252.0
"habilitado","guayaquil","guayas",2431.0,13.0,1151.0,0.0,24.0,"17-06-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",4.0,1000.0,1.0,17.0,6.0,2019.0,24.0
"habilitado","guayaquil","guayas",2404.0,13.0,4.0,0.0,210.0,"31-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",35.0,8750.0,1.0,31.0,12.0,2019.0,210.0
"habilitado","guayaquil","guayas",2404.0,13.0,4.0,0.0,210.0,"01-02-2017","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",35.0,8750.0,1.0,1.0,2.0,2017.0,210.0
"habilitado","guayaquil","guayas",2429.0,13.0,1093.0,0.0,6.0,"16-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,16.0,8.0,2019.0,6.0
"habilitado","guayaquil","guayas",2412.0,13.0,333.0,0.0,12.0,"05-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,5.0,9.0,2019.0,12.0
"habilitado","guayaquil","guayas",2414.0,13.0,404.0,0.0,24.0,"06-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",4.0,1000.0,1.0,6.0,9.0,2019.0,24.0
"habilitado","guayaquil","guayas",2416.0,13.0,532.0,0.0,162.0,"08-08-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",27.0,6750.0,1.0,8.0,8.0,2019.0,162.0
"habilitado","guayaquil","guayas",2419.0,13.0,669.0,0.0,72.0,"10-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",12.0,3000.0,1.0,10.0,7.0,2019.0,72.0
"habilitado","guayaquil","guayas",2423.0,13.0,825.0,0.0,6.0,"12-09-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,12.0,9.0,2019.0,6.0
"habilitado","guayaquil","guayas",2424.0,13.0,909.0,0.0,462.0,"13-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",77.0,19250.0,1.0,13.0,11.0,2019.0,462.0
"habilitado","guayaquil","guayas",2427.0,13.0,1041.0,0.0,150.0,"15-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",25.0,6250.0,1.0,15.0,11.0,2019.0,150.0
"habilitado","guayaquil","guayas",2430.0,13.0,1118.0,0.0,60.0,"16-12-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",10.0,2500.0,1.0,16.0,12.0,2019.0,60.0
"habilitado","guayaquil","guayas",2432.0,13.0,1157.0,0.0,6.0,"17-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,17.0,7.0,2019.0,6.0
