"razon_social","estado","fecha_resolucion","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","fecha","tipo_razon_social","volumen_cer","volumen_horas","volumen_ganancias","total_perfiles","dia","mes","anio","volumen_porcentaje_asistencia","prediction(volumen_porcentaje_asistencia)"
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1692.0,1192.0,1233.0,"18-07-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,18.0,7.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1713.0,1192.0,1938.0,"28-06-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,28.0,6.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1684.0,1192.0,983.0,"14-12-2016","organismo evaluador de la conformidad",4.0,24.0,1000.0,2.0,14.0,12.0,2016.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1656.0,1192.0,199.0,"03-10-2018","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,3.0,10.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1688.0,1192.0,1194.0,"17-12-2018","organismo evaluador de la conformidad",2.0,12.0,500.0,2.0,17.0,12.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1696.0,1192.0,1360.0,"20-04-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,20.0,4.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1698.0,1192.0,1429.0,"21-03-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,21.0,3.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1702.0,1192.0,1631.0,"24-01-2019","organismo evaluador de la conformidad",2.0,12.0,500.0,2.0,24.0,1.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1703.0,1192.0,1659.0,"24-06-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,24.0,6.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1704.0,1192.0,1675.0,"24-09-2018","organismo evaluador de la conformidad",4.0,24.0,1000.0,1.0,24.0,9.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1707.0,1192.0,1786.0,"26-04-2018","organismo evaluador de la conformidad",5.0,30.0,1250.0,1.0,26.0,4.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1706.0,1192.0,1768.0,"26-01-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,26.0,1.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1709.0,1192.0,1852.0,"27-03-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,27.0,3.0,2018.0,0.0,0.03726585106779755
