id_ci,id_curso,num_cap
1370,947,5
,506,584
,1282,133
,503,691
1372,585,159
1373,585,159
1372,584,434
1373,584,434
1372,1924,21
1373,1924,21
1375,1254,65
,,13
1376,1778,24
1377,1778,24
1378,1778,24
1376,1779,8
1377,1779,8
1378,1779,8
1376,609,8
1377,609,8
1378,609,8
1376,608,216
1377,608,216
1378,608,216
1376,1780,37
1377,1780,37
1378,1780,37
1376,1781,1
1377,1781,1
1378,1781,1
,,155
1383,981,7
1385,863,24
1386,1135,319
1387,1135,319
1386,2756,9
1387,2756,9
,465,20
,466,6
,2056,50
1391,,31
1390,1535,1
1390,1534,12
1392,2338,7
1393,2338,7
1394,2338,7
1392,820,182
1393,820,182
1394,820,182
1397,605,12
,,268
,,452
,,116
,290,5
,,65
,,118
,,76
,,96
,,119
1399,1775,167
1400,1775,167
,,6
,,14
1404,1323,90
,319,3
1406,1623,96
1407,1623,96
1408,2280,135
,,18
,,1
1410,2113,9
1411,2113,9
,,43
,,66
,,57
,980,5
,95,33
1413,1470,405
1414,1470,405
1413,,5
1414,,5
1413,,4
1414,,4
1413,,23
1414,,23
1413,,1
1414,,1
,,22
,,24
,,31
,,44
,,1
,2063,80
,2062,1
,2061,76
,261,399
,262,389
1415,,3
1416,,3
1415,1361,2
1416,1361,2
1415,1360,8
1416,1360,8
1417,1126,1
1418,1126,1
1417,2775,1
1418,2775,1
1417,2774,1
1418,2774,1
,494,18
1420,991,1
,,198
,,1
,,1
,,1
,,1
,,16
1422,1003,7
,,24
,,41
,,210
,,27
,,31
,,18
1427,549,284
1428,549,284
1427,,316
1428,,316
1427,1258,436
1428,1258,436
1427,550,595
1428,550,595
1427,551,2580
1428,551,2580
1427,552,54
1428,552,54
