perfil,familia,sector
SERVICIOS TURÍSTICOS Y CONSERVACIÓN DE ÁREAS FORESTALES,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
ADMINISTRACIÓN DE INFRAESTRUCTURA DE TECNOLOGIA DE LA INFORMACIÓN Y COMUNICACIÓN,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS"
INSTALACIÓN Y MANTENIMIENTO ELÉCTRICO EN MINAS SUBTERRÁNEAS,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES EN ADQUISICIONES - COMPRAS,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"REPARACIÓN, MONTAJE Y MODIFICACIONES DE CARROCERÍAS","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
OPERACIONES AUXILIARES DE GEOFÍSICA PARA LABORES DE MINERÍA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES DE ENVASADO DE LÍQUIDOS Y SEMILÍQUIDOS,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
SUPERVISIÓN DE ALERTAS DE EMERGENCIA,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
EVALUACIÓN DE OPERACIONES DE EMERGENCIA,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES AUXILIARES DE LOGUEO,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
GESTIÓN EN CUERO,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
ASISTENCIA EN COMERCIO EXTERIOR,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
ALBAÑILERÍA,CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS
OPERACIONES DE BRIGADA SOCIAL PARA PERSONAS CON DISCAPACIDAD,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO
GESTIÓN SOCIAL EN ATENCIÓN A LA DISCAPACIDAD,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO
GUÍA TURÍSTICA EN PATRIMONIO CULTURAL,TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
ACTIVIDADES ELÉCTRICAS EN INSTALACIÓN DE EQUIPOS DE MEDICIÓN DIRECTA,"ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
ELABORACIÓN DE FÉRETROS,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
ASISTENCIA EN SERVICIOS EXEQUIALES,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
ELABORACIÓN DE JABONES DE GLICERINA,"PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS
OPERACIONES EN CAMPOSANTO,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
TÉCNICAS DE PRODUCCIÓN AGROPECUARIA,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
SUPERVISIÓN DE CULTIVOS,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
APLICACIÓN DE AGROQUÍMICOS EN CULTIVOS,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
OPERACIONES DE RIEGO TECNIFICADO EN CULTIVOS,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
FLORICULTURA,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
GESTIÓN EN AGRICULTURA,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
GESTIÓN EN FLORICULTURA,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
OPERACIONES DE MANEJO DE FRUTALES,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
