id_fact_ci_rs,id_razon_social,id_fecha,volumen_cap,volumen_horas,volumen_ganancias,total_cursos
227,1755,6,56.0,2032.0,7524.16,3
228,1758,6,28.0,448.0,3080.3911111111092,1
229,176,5,46.0,736.0,7750.08,1
230,1760,6,373.0,8952.0,104469.84,1
231,1761,7,3.0,120.0,420.0,1
232,1762,6,4.0,160.0,280.0,1
233,1763,6,35.0,1400.0,7336.000000000001,1
234,1765,7,1.0,40.0,180.0,1
235,1767,6,99.0,3960.0,27228.457142857125,1
236,1769,6,5.0,200.0,350.0,1
237,177,6,5.0,200.0,900.0,1
238,1772,6,171.0,4216.0,20545.28,3
239,1775,7,61.0,2440.0,10272.4,1
240,1778,6,15.0,360.0,2401.2,1
241,1779,6,74.0,2696.0,8000.5599999999995,2
242,1789,7,10.0,80.0,550.0698412698409,1
243,1790,6,11.0,440.0,1852.4,1
244,1793,6,34.0,1104.0,1609.92,2
245,1794,6,8.0,320.0,1440.0,1
246,1795,7,24.0,400.0,3510.293333333332,3
247,1798,6,5.0,136.0,1405.12,2
248,1800,6,22.0,880.0,6050.76825396825,1
249,1801,6,21.0,504.0,3465.439999999998,1
250,1806,6,21.0,504.0,7570.08,2
251,1807,5,1.0,40.0,176.4,1
252,1810,6,14.0,448.0,842.24,1
253,1813,6,13.0,208.0,1156.48,1
254,1815,6,21.0,744.0,5115.649523809521,2
255,182,7,23.0,920.0,1729.5999999999997,1
256,1822,6,299.0,4840.0,43178.303492063475,3
257,1826,7,1.0,40.0,320.0,1
258,1828,6,1.0,40.0,275.03492063492047,1
259,1829,7,4.0,160.0,300.79999999999995,1
260,1830,6,17.0,680.0,1190.0,1
261,1834,5,279.0,6648.0,40265.520000000004,3
262,1836,6,42.0,1680.0,8803.2,1
263,1838,6,16.0,640.0,342.40000000000003,2
264,184,6,9.0,216.0,2430.0,1
265,1841,6,36.0,560.0,3850.4888888888863,2
266,1842,5,6.0,48.0,1010.8799999999999,1
267,1845,7,62.0,1952.0,8520.0,2
268,1847,7,95.0,2056.0,14645.359999999999,2
269,1854,6,674.0,21536.0,116405.52,5
270,1855,6,125.0,4736.0,21057.920000000002,2
271,1857,6,1.0,32.0,60.16,1
272,1861,6,3.0,120.0,1087.2,1
273,1863,6,5.0,80.0,550.0698412698409,1
274,1865,7,8.0,168.0,2443.5479365079364,4
275,1867,7,2.0,16.0,336.96,1
276,1868,7,1.0,40.0,180.0,1
277,187,7,35.0,1152.0,2332.16,2
278,1873,6,94.0,2256.0,15047.519999999999,1
279,1878,7,2.0,80.0,360.0,1
280,1882,6,163.0,4680.0,1892.8000000000002,3
281,1883,6,15.0,600.0,2700.0,1
282,1884,7,16.0,640.0,716.8000000000001,1
283,1885,5,389.0,14256.0,57175.68000000001,2
284,1886,6,426.0,8232.0,56919.92,6
285,1887,7,39.0,1560.0,6754.799999999999,1
286,1888,6,29.0,696.0,2554.32,1
287,189,6,472.0,15728.0,28508.800000000003,4
288,1892,6,4.0,128.0,240.64,1
289,1897,5,34.0,1360.0,5725.6,1
290,1899,7,2.0,80.0,89.60000000000001,1
291,19,6,69.0,2760.0,7700.4,1
292,190,6,97.0,776.0,5335.677460317457,1
293,1900,7,12.0,216.0,1270.15365079365,2
294,1903,6,35.0,1400.0,5894.0,1
295,1904,6,2.0,48.0,223.68,1
296,191,5,222.0,7488.0,17375.36,3
297,1910,6,1.0,40.0,150.0,1
298,1911,6,589.0,11352.0,51271.44,4
299,1912,6,50.0,1856.0,7512.96,5
300,1913,6,239.0,9560.0,12394.400000000001,3
301,1914,7,3.0,120.0,529.2,1
302,1916,6,307.0,12280.0,55260.0,1
303,1917,5,24.0,960.0,2080.0,2
304,1921,7,2.0,32.0,186.5269841269841,2
305,1922,5,190.0,7552.0,30121.760000000002,6
306,1927,7,40.0,640.0,4473.6,1
307,1931,6,1.0,40.0,117.6,1
308,1953,6,50.0,400.0,8424.0,1
309,1955,6,1.0,24.0,89.03999999999999,1
310,1956,6,26.0,624.0,9372.48,1
311,1957,5,17.0,168.0,2580.0419047619043,2
