id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
1225,405,3183,7,9.0,342.0,5649.84,0.0
1226,445,2668,7,793.0,456768.0,1635229.44,0.0
1227,464,5636,7,42.0,252.0,10500.0,0.0
1228,464,5821,7,42.0,252.0,10500.0,0.0
1229,491,3804,7,3.0,720.0,17640.0,0.3787878787878788
1230,491,3791,7,3.0,288.0,2338.56,0.3787878787878788
1231,491,3755,7,1.0,160.0,150.39999999999998,0.12626262626262627
1232,491,3813,7,1.0,160.0,800.0,0.12626262626262627
1233,491,3817,7,30.0,1350.0,33075.0,3.787878787878788
1234,491,3818,7,30.0,1350.0,2700.0,3.787878787878788
1235,491,3799,7,55.0,13200.0,107183.99999999999,6.944444444444445
1236,491,3761,7,1.0,48.0,90.24,0.12626262626262627
1237,491,3784,7,6.0,720.0,6494.4,0.7575757575757576
1238,491,3794,7,1.0,80.0,1960.0,0.12626262626262627
1239,491,3805,7,66.0,12672.0,102896.64,8.333333333333332
1240,491,3773,7,1.0,45.0,20.7,0.12626262626262627
1241,491,3777,7,1.0,480.0,220.8,0.12626262626262627
1242,491,3775,7,9.0,405.0,186.29999999999998,1.1363636363636365
1243,491,3820,7,9.0,405.0,708.75,1.1363636363636365
1244,491,6329,7,9.0,54.0,2250.0,1.1363636363636365
1245,491,3806,7,1.0,120.0,2940.0,0.12626262626262627
1246,491,3790,7,1.0,96.0,480.0,0.12626262626262627
1247,491,3824,7,32.0,1920.0,15590.399999999998,4.040404040404041
1248,491,3797,7,6.0,144.0,7125.12,0.7575757575757576
1249,491,3793,7,473.0,22704.0,184356.47999999998,59.72222222222222
1250,491,3815,7,473.0,22704.0,34056.0,59.72222222222222
1251,491,3825,7,13.0,780.0,3900.0,1.6414141414141417
1252,491,3812,7,8.0,4800.0,2208.0,1.0101010101010102
1253,491,3833,7,8.0,960.0,3436.8,1.0101010101010102
1254,491,3810,7,20.0,4800.0,2208.0,2.525252525252525
1255,491,3816,7,20.0,2400.0,8592.0,2.525252525252525
1256,491,3811,7,8.0,2880.0,1324.8,1.0101010101010102
1257,491,3832,7,8.0,960.0,3436.8,1.0101010101010102
1258,491,3809,7,16.0,7680.0,3532.8,2.0202020202020203
1259,491,3831,7,16.0,1920.0,6873.6,2.0202020202020203
1260,491,3764,7,6.0,360.0,194.40000000000003,0.7575757575757576
1261,491,3769,7,1.0,40.0,140.0,0.12626262626262627
1262,507,3178,7,320.0,16000.0,110013.9682539682,0.0
1263,507,3179,7,320.0,16000.0,110013.9682539682,0.0
1264,507,3176,7,534.0,83304.0,572787.7257142854,0.0
1265,507,3177,7,534.0,83304.0,572787.7257142854,0.0
1266,518,635,7,7.0,168.0,2380.56,0.0
1267,518,642,7,22.0,880.0,12733.600000000002,0.0
1268,537,1090,7,63.0,2016.0,13861.759999999991,0.0
1269,537,1083,7,10.0,80.0,550.0698412698409,0.0
1270,537,1084,7,21.0,336.0,2310.293333333332,0.0
1271,539,965,7,9.0,360.0,2475.3142857142843,0.0
1272,539,966,7,9.0,360.0,3247.2,0.0
1273,539,967,7,9.0,576.0,3202.56,0.0
1274,539,968,7,9.0,576.0,3507.84,0.0
1275,539,1015,7,12.0,240.0,840.0,0.0
1276,539,1016,7,12.0,240.0,840.0,0.0
1277,539,1009,7,4.0,64.0,2115.2,0.0
1278,539,1010,7,4.0,64.0,3043.84,0.0
1279,539,1007,7,3.0,60.0,1586.4,0.0
1280,539,1008,7,3.0,60.0,2283.0,0.0
1281,539,989,7,15.0,300.0,7932.000000000001,0.0
1282,539,990,7,15.0,300.0,11415.0,0.0
1283,539,1021,7,1.0,20.0,528.8000000000001,0.0
1284,539,1022,7,1.0,20.0,210.0,0.0
1285,539,981,7,6.0,240.0,1650.2095238095228,0.0
1286,539,982,7,6.0,240.0,2164.7999999999997,0.0
1287,539,983,7,6.0,384.0,2135.04,0.0
1288,539,984,7,6.0,384.0,2338.56,0.0
