id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo
171,curso,servicios socioculturales y a la comunidad,salud y medicina,terapia y estimulación del lenguaje,presencial,160,5288.0
172,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,10,330.5
173,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,10,440.6
174,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,presencial,10,330.5
175,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,inspecciones de seguridad y salud en el trabajo,presencial,10,330.5
176,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional,presencial,10,264.40000000000003
177,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,10,165.2
178,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programa de prevención integral al uso y consumo de drogas en los espacios laborales públicos y privados,presencial,10,105.8
179,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,10,330.5
180,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manipulación de cargas,presencial,10,132.20000000000002
181,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,presencial,10,330.5
182,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencias y autoprotección,presencial,10,440.6
183,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención riesgos eléctricos,presencial,40,528.8000000000001
184,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en el manejo de productos químicos,presencial,10,330.5
185,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en riesgos de la construcción,presencial,40,528.8000000000001
186,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,presencial,10,330.5
187,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,10,330.5
188,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de desechos hospitalarios,presencial,12,528.72
189,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,presencial,10,264.40000000000003
190,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de vehículos livianos / prevención en el manejo de vehículos pesados,presencial,20,528.8000000000001
191,curso,administración y legislación,administración contable y de costos,caja bancaria comercial,presencial,72,1764.0
192,curso,educación y capacitación,metodología y técnica de aprendizaje,necesidades educativas asociadas a la inclusión efectiva,presencial,72,33.120000000000005
193,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructores en danza folklorica nacional y latinoamericana,presencial,144,66.24000000000001
194,curso,servicios socioculturales y a la comunidad,salud y medicina,servicio de limpieza afines mención limpieza hospitalaria,presencial,72,59.76
195,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,72,584.64
196,curso,artes y artesanía,peluquería y belleza barbería y estilismo,maquillaje profesional,presencial,72,3199.68
