id_oec,razon_social_oec,estado,canton,provincia
41,HJ CONSULTING MANAGEMENT H&JCONSULTING C.LTDA.,Desconocido,GUAYAQUIL,GUAYAS
42,SOCIEDAD GENERAL DE CERTIFICACIONES ENSAYOS Y CALIBRACIONES DEL ECUADOR S.A. SGCEC DEL ECUADOR,Desconocido,GUAYAQUIL,GUAYAS
43,PASTRYCHEF CIA. LTDA,Desconocido,GUAYAQUIL,GUAYAS
44,COMPAÑIA DE ENSEÑANZA MARTILLO SAA S.A. MARTISAA / ESCUELA CULINARIA DE LAS AMERICAS,Desconocido,GUAYAQUIL,GUAYAS
45,INSTITUTO SUPERIOR TECNOLÓGICO GUAYAQUIL - GUAYAQUIL,Desconocido,GUAYAQUIL,GUAYAS
46,INSTITUTO TECNOLOGICO SUPERIOR TECNOPOLIS INSTEGPOLI C.A.,Desconocido,GUAYAQUIL,GUAYAS
47,FUNDACION WILSON MUÑOZ RIVAS,Desconocido,GUAYAQUIL,GUAYAS
48,ASOCIACION DE CORREDORES DE BIENES RAICES DEL GUAYAS ACBIR,Desconocido,GUAYAQUIL,GUAYAS
49,ACADEMIA CULINARIA SANTIAGO DE GUAYAQUIL ACSAGU S.A.,Desconocido,GUAYAQUIL,GUAYAS
50,INSTITUTO SUPERIOR TECNOLOGICO ESPIRITU SANTO,Desconocido,GUAYAQUIL,GUAYAS
51,LETDUY S.A.,Desconocido,GUAYAQUIL,GUAYAS
52,CORPORACION ACERFIM ASESORIA FINANCIERA Y CAPACITACION EMPRESARIAL,Desconocido,GUAYAQUIL,GUAYAS
53,SUAREZ SANANDRES ROSA DEL CARMEN,Desconocido,GUAYAQUIL,GUAYAS
54,INSTITUTO SUPERIOR TECNOLÓGICO JUAN BAUTISTA AGUIRRE,Desconocido,DAULE,GUAYAS
55,FORMACION EDUCATIVA FETAFUR TAFUR CONSULTING S.A.,Desconocido,DURAN,GUAYAS
56,FUNDACION HOLISTICA GERONTOLOGICA SALAMANDRA,Desconocido,GUAYAQUIL,GUAYAS
57,ECUGENIUS S.A.,Desconocido,GUAYAQUIL,GUAYAS
58,CENTRO DE FORMACION GASTRONOMICO MILAGRO DIAZ & ARCE CEFOGAMI S.A.,Desconocido,DAULE,GUAYAS
59,EMPRESA PUBLICA DE PRODUCCIÓN Y DESARROLLO ESTRATEGICO DE LA UNIVERSIDAD ESTATAL DE MILAGRO,Desconocido,MILAGRO,GUAYAS
60,ACADEMIA SUDAMERICANA DE FORMACION EN SEGURIDAD INTEGRAL ASFIS CIA.LTDA.,Desconocido,GUAYAQUIL,GUAYAS
61,MORAN VELEZ FREDDY FERNANDO,Desconocido,GUAYAQUIL,GUAYAS
62,ESCUELA DE CONDUCTORES PROFESIONALES ESPOL EP,Desconocido,GUAYAQUIL,GUAYAS
63,INSTITUTO SUPERIOR TECNOLOGICO BOLIVARIANO DE TECNOLOGIA,Desconocido,GUAYAQUIL,GUAYAS
64,AGRITEPSA S.A.,Desconocido,GUAYAQUIL,GUAYAS
65,CORPORACION CORPNOB NOBOA ECUADOR CIA.LTDA.,Desconocido,GUAYAQUIL,GUAYAS
66,NOVILLO MENDOZA MAX ANDRES,Desconocido,GUAYAQUIL,GUAYAS
67,ENSICAPAC C.LTDA.,Desconocido,GUAYAQUIL,GUAYAS
68,FUNDACION RIO GUAYAS,Desconocido,GUAYAQUIL,GUAYAS
69,ARANA DUARTE CARLOS ALBERTO,Desconocido,GUAYAQUIL,GUAYAS
70,ASOINMED INSTITUTO TECNOLOGICO DE INVESTIGACIONES MEDICAS & CAPACITACION DE PROFESIONALES DE LA SALUD MEDICALINVEST SOCIEDAD ANONIMA,Desconocido,GUAYAQUIL,GUAYAS
71,SESOCORPSA S.A.,Desconocido,GUAYAQUIL,GUAYAS
72,MORAN ZAMBRANO JOSE FERNANDO,Desconocido,DAULE,GUAYAS
73,LOREANCORP S.A.,Desconocido,GUAYAQUIL,GUAYAS
74,BUCK LETTING AGENCY BUCKLET S.A.,Desconocido,GUAYAQUIL,GUAYAS
75,ALCIVAR TRIVIÑO MANUEL ANTONIO,Desconocido,GUAYAQUIL,GUAYAS
76,S.G.S. DEL ECUADOR S.A.,Desconocido,GUAYAQUIL,GUAYAS
77,INSTITUTO ASEDU ECUADOR ASEDUECUADOR S.A.,Desconocido,GUAYAQUIL,GUAYAS
78,SART S.A.S.,Desconocido,DAULE,GUAYAS
79,ABALCO HARO CRISTIAN PATRICIO,Desconocido,GUAYAQUIL,GUAYAS
80,FUNDACION DE LA GENTE DE MAR,Desconocido,GUAYAQUIL,GUAYAS
81,PRISCILA DE MIGNOSA (ESTUDIO DE MAQUILLAJE Y CAPACITACIONES),Desconocido,DAULE,GUAYAS
82,"INSTITUTO SUPERIOR TECNOLÓGICO DE FORMACIÓN PROFESIONAL, ADMINISTRATIVA Y COMERCIAL",Desconocido,GUAYAQUIL,GUAYAS
83,BENAVIDES CRIOLLO JUAN CARLOS / CB CONSULTING & TRAINING,Desconocido,GUAYAQUIL,GUAYAS
84,INSTITUTO SUPERIOR TECNOLOGICO ESCUELA DE LOS CHEFS DE GUAYAQUIL,Desconocido,GUAYAQUIL,GUAYAS
85,HMS_STUDIO & CAROLINA RAMOS ESCUELA DE MAQUILLAJE,Desconocido,NARANJAL,GUAYAS
86,TORRES PALOMINO MAYRA ALEJANDRA,Desconocido,GUAYAQUIL,GUAYAS
87,RIGAR S.A.,Desconocido,GUAYAQUIL,GUAYAS
88,INSTITUTO SUPERIOR TECNOLÓGICO VICENTE ROCAFUERTE,Desconocido,GUAYAQUIL,GUAYAS
89,PINEDA DEL CASTILLO SANTIAGO ROBERTO,Desconocido,IBARRA,IMBABURA
90,INSTITUTO TECNOLOGICO SUPERIOR IBARRA,Desconocido,IBARRA,IMBABURA
91,XIDE,Desconocido,IBARRA,IMBABURA
92,INSTITUTO SUPERIOR TECNOLÓGICO DIEZ Y SIETE DE JULIO,Desconocido,URCUQUI,IMBABURA
93,C&A EMPRESARIAL NORU CIA.LTDA.,Desconocido,IBARRA,IMBABURA
94,INSTITUTO TECNOLOGICO SUPERIOR JOSE CHIRIBOGA GRIJALVA,Desconocido,IBARRA,IMBABURA
