id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
38.0,,416,2,,1,2,,
38.0,,201,1,,1,1,,
38.0,,34,11,,1,11,,
38.0,,148,20,,1,20,,
38.0,,420,4,,1,4,,
38.0,,421,7,,1,7,,
38.0,,422,1,,1,1,,
38.0,,423,1,,1,1,,
38.0,,164,3,,1,3,,
38.0,,35,4,,1,4,,
38.0,,203,3,,1,3,,
38.0,,427,1,,1,1,,
38.0,,428,3,,1,3,,
38.0,,429,5,,1,5,,
38.0,,280,1,,1,1,,
38.0,,127,2,,1,2,,
38.0,,432,6,,1,6,,
38.0,,433,1,,1,1,,
38.0,,434,4,,1,4,,
38.0,,435,3,,1,3,,
38.0,,216,4,,1,4,,
38.0,,437,4,,2,6,,
38.0,,438,4,,1,4,,
38.0,,217,2,,1,2,,
38.0,,128,1,,1,1,,
38.0,,441,7,,1,7,,
38.0,,442,4,,1,4,,
38.0,,237,4,,1,4,,
38.0,,444,5,,1,5,,
38.0,,14,8,,1,8,,
38.0,,446,1,,1,1,,
38.0,,447,2,,1,2,,
38.0,,448,5,,1,5,,
38.0,,205,4,,1,4,,
38.0,,450,3,,1,3,,
38.0,,129,1,,1,1,,
38.0,,100,4,,1,4,,
38.0,,453,4,,1,4,,
38.0,,454,2,,1,2,,
38.0,,455,6,,1,6,,
38.0,,456,3,,1,3,,
38.0,,101,3,,1,3,,
38.0,,458,3,,1,3,,
38.0,,15,1,,1,1,,
38.0,,103,12,,1,12,,
38.0,,461,6,,1,6,,
38.0,,462,1,,1,1,,
38.0,,463,2,,1,2,,
38.0,,16,11,,1,11,,
38.0,,106,1,,1,1,,
38.0,,466,2,,1,2,,
38.0,,467,1,,1,1,,
38.0,,108,1,,1,1,,
38.0,,469,1,,1,1,,
38.0,,470,4,,2,6,,
38.0,,471,3,,1,3,,
38.0,,472,4,,1,4,,
38.0,,58,14,,2,18,,
38.0,,474,1,,1,1,,
38.0,,36,7,,1,7,,
38.0,,476,6,,1,6,,
38.0,,477,2,,1,2,,
38.0,,478,3,,1,3,,
38.0,,479,15,,2,16,,
38.0,,480,3,,1,3,,
38.0,,113,1,,1,1,,
38.0,,482,2,,1,2,,
38.0,,483,1,,1,1,,
38.0,,484,6,,1,6,,
38.0,,485,6,,1,6,,
38.0,,486,3,,1,3,,
38.0,,487,2,,2,3,,
38.0,,118,22,,1,22,,
38.0,,489,21,,1,21,,
38.0,,490,2,,1,2,,
38.0,,491,1,,1,1,,
38.0,,492,9,,2,10,,
38.0,,493,1,,1,1,,
38.0,,494,1,,2,2,,
38.0,,495,1,,1,1,,
38.0,,496,2,,1,2,,
38.0,,497,4,,2,5,,
38.0,,498,1,,1,1,,
38.0,,499,1,,1,1,,
38.0,,500,4,,1,4,,
38.0,,501,3,,1,3,,
38.0,,247,2,,1,2,,
38.0,,503,6,,1,6,,
38.0,,175,2,,2,4,,
38.0,,20,5,,1,5,,
38.0,,506,4,,2,5,,
38.0,,351,1,,2,2,,
